space_thres,time_thres,num_thres,total_clusters,percent_clustered,avg_duration,avg_lat_span,avg_lon_span,max_duration,max_lat_span,max_lon_span,var_duration,var_lat_span,var_lon_span,count_complex_cases
0.5,1.0,10.0,376,51.69248872327907,0.0,2.243846153846154,1.995278514588859,0,12.959999999999997,17.080000000000013,0.0,1.4113753273322414,2.51634998871268,74
0.5,1.0,3.0,1196,91.30809962737791,0.0,1.715104427736007,1.7792063492063492,0,15.41,22.5,0.0,1.7861623009586398,3.3054880819663395,266
0.5,1.0,5.0,824,81.27083741910178,0.0,1.965139393939394,2.047721212121212,0,15.250000000000004,22.5,0.0,1.7430521953515754,3.183367130920858,154
0.5,1.0,7.0,560,68.75073543832124,0.0,2.185579322638146,2.1734759358288764,0,14.66,20.63000000000001,0.0,1.6085893512859724,3.0427941462948795,90
0.5,14.0,10.0,412,66.42871151206118,0.0,3.257699757869249,2.4543341404358343,0,22.679999999999996,21.91000000000001,0.0,4.855069210606737,3.464632383224801,63
0.5,14.0,3.0,1121,94.57932928025105,0.0,2.189643493761141,1.9684224598930478,0,22.679999999999996,24.459999999999994,0.0,3.3120494713626325,3.7318000961231066,209
0.5,14.0,5.0,815,87.39752892724064,0.0,2.5237622549019614,2.263884803921568,0,22.679999999999996,24.459999999999994,0.0,3.6689454599723352,3.6804016995970126,120
0.5,14.0,7.0,581,78.33692880957051,0.0,2.873762886597938,2.471116838487972,0,22.679999999999996,24.459999999999994,0.0,3.878853114076335,3.8759307642942926,60
0.5,3.0,10.0,409,65.32261227691704,0.0,3.05080487804878,2.4359268292682916,0,16.540000000000003,21.91000000000001,0.0,2.6980543628123312,3.457875055757646,58
0.5,3.0,3.0,1146,94.36752304373408,0.0,2.088605056669573,1.9296687009590234,0,18.389999999999997,24.459999999999994,0.0,2.535218994843521,3.6816107103895037,217
0.5,3.0,5.0,819,86.83271229652874,0.0,2.4051951219512193,2.2448902439024385,0,18.389999999999997,23.819999999999993,0.0,2.6105922695732455,3.6127307571696563,116
0.5,3.0,7.0,590,77.6858207491665,0.0,2.7455329949238583,2.4208460236886626,0,17.319999999999997,23.439999999999998,0.0,2.603479334078983,3.740762672861282,65
0.5,30.0,10.0,411,66.42871151206118,0.0,3.2151699029126215,2.4608980582524262,0,22.679999999999996,22.930000000000007,0.0,4.118034764250109,3.56521597985023,60
0.5,30.0,3.0,1121,94.57932928025105,0.0,2.189643493761141,1.9684224598930478,0,22.679999999999996,24.459999999999994,0.0,3.3120494713626325,3.7318000961231066,209
0.5,30.0,5.0,815,87.39752892724064,0.0,2.5237622549019614,2.263884803921568,0,22.679999999999996,24.459999999999994,0.0,3.6689454599723352,3.6804016995970126,120
0.5,30.0,7.0,581,78.33692880957051,0.0,2.873762886597938,2.471116838487972,0,22.679999999999996,24.459999999999994,0.0,3.878853114076335,3.8759307642942926,60
0.5,5.0,10.0,411,66.06785644243969,0.0,3.1545388349514565,2.4517475728155333,0,18.389999999999997,21.91000000000001,0.0,3.3824389595587423,3.457906914227666,58
0.5,5.0,3.0,1131,94.48911551284566,0.0,2.138736749116608,1.9521466431095407,0,18.389999999999997,24.459999999999994,0.0,2.7723728501779337,3.7166462278136527,211
0.5,5.0,5.0,818,87.20925671700334,0.0,2.4645177045177045,2.2540048840048836,0,18.389999999999997,24.459999999999994,0.0,3.0159724749306642,3.671483696797629,118
0.5,5.0,7.0,586,78.13688958619338,0.0,2.8266609880749574,2.4478194207836452,0,18.389999999999997,23.439999999999998,0.0,3.213316818321887,3.7675559878133167,62
0.5,7.0,10.0,410,66.27574034124338,0.0,3.1918004866180048,2.4609489051094884,0,18.389999999999997,21.91000000000001,0.0,3.690859189365617,3.4667583656756267,58
0.5,7.0,3.0,1123,94.52441655226517,0.0,2.1530249110320283,1.9638345195729536,0,22.119999999999997,24.459999999999994,0.0,3.012337057259568,3.7311371088340537,207
0.5,7.0,5.0,814,87.31123749754855,0.0,2.4876564417177915,2.2637914110429445,0,22.119999999999997,24.459999999999994,0.0,3.320032461675286,3.681154280761523,116
0.5,7.0,7.0,581,78.2702490684448,0.0,2.8392439862542957,2.4687628865979376,0,21.58,24.459999999999994,0.0,3.52703212969699,3.8808263498766764,58
1.0,1.0,10.0,471,76.47381839576389,0.038135593220338986,2.5420974576271185,3.342690677966101,2,15.250000000000004,22.5,0.04525171830580407,2.062845060545541,3.8832553775774614,29
1.0,1.0,3.0,1037,96.42282800549128,0.018304431599229287,1.949412331406551,2.556290944123314,2,17.360000000000003,26.5,0.02184398823492346,2.3829621422585903,4.373747174672016,133
1.0,1.0,5.0,817,91.83369288095705,0.023227383863080684,2.1577017114914425,2.881674816625917,2,15.41,22.5,0.02761160306805517,2.2104377958599826,4.320229627296479,73
1.0,1.0,7.0,644,86.04040007844675,0.031007751937984496,2.343751937984496,3.1574263565891467,2,15.250000000000004,22.5,0.03630410708267054,2.1553405594876995,4.241251440608591,50
1.0,14.0,10.0,482,83.73798784075309,0.11801242236024845,3.366045548654244,3.5858592132505174,2,22.679999999999996,26.279999999999987,0.13334707868354054,5.722224786302765,5.103680328685676,28
1.0,14.0,3.0,925,97.87801529711707,0.06479481641468683,2.4546004319654426,2.8142008639308855,2,22.679999999999996,26.5,0.07579709298931812,4.865769732064691,5.3626855769073565,82
1.0,14.0,5.0,767,95.10492253383016,0.078125,2.728177083333333,3.1228515624999993,2,22.679999999999996,26.5,0.09036831812255541,5.159269684376366,5.404639967507327,54
